city,state_5,median_home_listing_price,x30_year_fixed_mortgage_rate,monthly_mortgage_payment,median_household_income,number_of_hours_per_month_to_afford_a_home,rate,nper,pv,monthly_income,pct,state_abbreviation,region
Toledo,Ohio,74900,0.04,273,33687,16.9,0.04,360,59920.00,2807.25,0.09724819663371627,OH,Midwest Region
Memphis,Tennessee,88500,0.04,321,36445,18.4,0.04,360,70800.00,3037.0833333333335,0.1056935107696529,TN,South Region
Cleveland,Ohio,70000,0.04,255,26150,20.3,0.04,360,56000.00,2179.1666666666665,0.11701720841300192,OH,Midwest Region
Buffalo,New York,90000,0.04,327,31918,21.4,0.04,360,72000.00,2659.8333333333335,0.12294003383670656,NY,Northeast Region
Baltimore[16],Maryland,139000,0.04,504,42241,24.9,0.04,360,111200.00,3520.0833333333335,0.14317842854099097,MD,South Region
Wichita,Kansas,153900,0.04,558,45947,25.3,0.04,360,123120.00,3828.9166666666665,0.14573312729884433,KS,Midwest Region
Fort Wayne,Indiana,149900,0.04,543,43774,25.9,0.04,360,119920.00,3647.8333333333335,0.1488554849910906,IN,Midwest Region
Milwaukee,Wisconsin,124800,0.04,452,35958,26.2,0.04,360,99840.00,2996.5,0.15084264975805106,WI,Midwest Region
Indianapolis[11],Indiana,145000,0.04,529,41987,26.3,0.04,360,116000.00,3498.9166666666665,0.1511896539405054,IN,Midwest Region
Columbus,Ohio,163840,0.04,597,45659,27.3,0.04,360,131072.00,3804.9166666666665,0.15690225366302374,OH,Midwest Region
El Paso,Texas,161660,0.04,585,42772,28.5,0.04,360,129328.00,3564.3333333333335,0.16412606378004302,TX,South Region
Oklahoma City,Oklahoma,185000,0.04,670,47779,29.2,0.04,360,148000.00,3981.5833333333335,0.1682747650641495,OK,South Region
Gilbert[20],Arizona,326532,0.04,1188,82424,30.1,0.04,360,261226.00,6868.666666666667,0.1729593322333301,AZ,West Region
Winstonâ€“Salem,North Carolina,159900,0.04,579,39882,30.3,0.04,360,127920.00,3323.5,0.17421393109673536,NC,South Region
Arlington,Texas,215000,0.04,779,53326,30.5,0.04,360,172000.00,4443.833333333333,0.1752991036267487,TX,South Region
Garland,Texas,209999,0.04,760,51970,30.5,0.04,360,167999.00,4330.833333333333,0.1754858572253223,TX,South Region
Corpus Christi,Texas,204900,0.04,742,50658,30.6,0.04,360,163920.00,4221.5,0.17576690749733506,TX,South Region
Anchorage[19],Alaska,315000,0.04,1158,78326,30.9,0.04,360,252000.00,6527.166666666667,0.1774123534969231,AK,West Region
Jacksonville[9],Florida,191000,0.04,692,46764,30.9,0.04,360,152800.00,3897,0.17757249166025146,FL,South Region
Tulsa,Oklahoma,175000,0.04,633,42284,31.3,0.04,360,140000.00,3523.6666666666665,0.17964241793586228,OK,South Region
St. Louis[16],Missouri,148240,0.04,539,35599,31.6,0.04,360,118592.00,2966.5833333333335,0.18169049692407088,MO,Midwest Region
Saint Paul,Minnesota,205000,0.04,745,48757,31.9,0.04,360,164000.00,4063.0833333333335,0.18335828701519782,MN,Midwest Region
Kansas City,Missouri,195000,0.04,709,45821,32.3,0.04,360,156000.00,3818.4166666666665,0.18567905545492241,MO,Midwest Region
Virginia Beach[16],Virginia,285000,0.04,1031,66634,32.3,0.04,360,228000.00,5552.833333333333,0.185670978779602,VA,South Region
Greensboro,North Carolina,179900,0.04,651,41628,32.6,0.04,360,143920.00,3469,0.1876621504756414,NC,South Region
Lincoln,Nebraska,214950,0.04,781,49840,32.7,0.04,360,171960.00,4153.333333333333,0.18804173354735154,NE,Midwest Region
North Las Vegas,Nevada,231500,0.04,842,52511,33.5,0.04,360,185200.00,4375.916666666667,0.19241682695054368,NV,West Region
Chandler,Arizona,323450,0.04,1176,72695,33.8,0.04,360,258760.00,6057.916666666667,0.19412614347616755,AZ,West Region
Plano,Texas,374900,0.04,1357,83793,33.8,0.04,360,299920.00,6982.75,0.1943360423901758,TX,South Region
Fort Worth,Texas,239000,0.04,865,53214,33.9,0.04,360,191200.00,4434.5,0.1950614499943624,TX,South Region
Omaha,Nebraska,225000,0.04,817,49896,34.2,0.04,360,180000.00,4158,0.1964886964886965,NE,Midwest Region
Spokane,Washington,195000,0.04,707,42386,34.8,0.04,360,156000.00,3532.1666666666665,0.2001604303307696,WA,West Region
Laredo,Texas,184900,0.04,669,39711,35.2,0.04,360,147920.00,3309.25,0.2021606104102138,TX,South Region
Bakersfield,California,266612,0.04,964,57095,35.2,0.04,360,213290.00,4757.916666666667,0.20260968561169979,CA,West Region
Lubbock,Texas,210000,0.04,760,44648,35.5,0.04,360,168000.00,3720.6666666666665,0.20426446873320195,TX,South Region
Philadelphia[8],Pennsylvania,180000,0.04,651,38253,35.5,0.04,360,144000.00,3187.75,0.2042192769194573,PA,Northeast Region
Albuquerque,New Mexico,219900,0.04,803,47030,35.6,0.04,360,175920.00,3919.1666666666665,0.20489049542844992,NM,West Region
Norfolk[16],Virginia,210000,0.04,760,44480,35.7,0.04,360,168000.00,3706.6666666666665,0.20503597122302158,VA,South Region
Chesapeake[16],Virginia,324900,0.04,1176,68620,35.8,0.04,360,259920.00,5718.333333333333,0.20565432818420287,VA,South Region
Pittsburgh,Pennsylvania,194900,0.04,705,40715,36.2,0.04,360,155920.00,3392.9166666666665,0.20778582831880144,PA,Northeast Region
Madison,Wisconsin,264900,0.04,960,54896,36.5,0.04,360,211920.00,4574.666666666667,0.2098513552900029,WI,Midwest Region
Glendale,Arizona,234969,0.04,849,46776,37.9,0.04,360,187975.00,3898,0.21780400205233452,AZ,West Region
Mesa,Arizona,246900,0.04,898,48809,38.4,0.04,360,197520.00,4067.4166666666665,0.22077895470097728,AZ,West Region
Newark,New Jersey,169750,0.04,614,33139,38.6,0.04,360,135800.00,2761.5833333333335,0.2223362201635535,NJ,Northeast Region
Charlotte,North Carolina,275000,0.04,995,53637,38.7,0.04,360,220000.00,4469.75,0.22260752838525644,NC,South Region
Baton Rouge[21],Louisiana,205000,0.04,741,39876,38.8,0.04,360,164000.00,3323,0.22299127294613302,LA,South Region
Tucson,Arizona,189900,0.04,691,37149,38.8,0.04,360,151920.00,3095.75,0.22320923847209884,AZ,West Region
San Antonio,Texas,241990,0.04,876,46744,39.1,0.04,360,193592.00,3895.3333333333335,0.22488447715214785,TX,South Region
Minneapolis,Minnesota,269900,0.04,980,51480,39.7,0.04,360,215920.00,4290,0.22843822843822845,MN,Midwest Region
Henderson,Nevada,335000,0.04,1218,63120,40.3,0.04,360,268000.00,5260,0.23155893536121672,NV,West Region
Durham,North Carolina,269000,0.04,974,50420,40.3,0.04,360,215200.00,4201.666666666667,0.23181277270924236,NC,South Region
St. Petersburg,Florida,245000,0.04,888,45748,40.5,0.04,360,196000.00,3812.3333333333335,0.23292821544111217,FL,South Region
Cincinnati,Ohio,179900,0.04,655,33604,40.7,0.04,360,143920.00,2800.3333333333335,0.23390072610403523,OH,Midwest Region
Boise[22],Idaho,269900,0.04,982,50323,40.7,0.04,360,215920.00,4193.583333333333,0.234167279375236,ID,West Region
Raleigh,North Carolina,300000,0.04,1086,55398,40.9,0.04,360,240000.00,4616.5,0.23524314957218673,NC,South Region
Las Vegas,Nevada,274900,0.04,1000,50202,41.6,0.04,360,219920.00,4183.5,0.2390343014222541,NV,West Region
Phoenix,Arizona,268450,0.04,976,47326,43.1,0.04,360,214760.00,3943.8333333333335,0.24747496090943666,AZ,West Region
Colorado Springs,Colorado,315000,0.04,1137,54527,43.5,0.04,360,252000.00,4543.916666666667,0.25022465934307775,CO,West Region
Sacramento,California,292900,0.04,1059,50739,43.5,0.04,360,234320.00,4228.25,0.25045822739904217,CA,West Region
Richmond[16],Virginia,240000,0.04,869,40758,44.5,0.04,360,192000.00,3396.5,0.25585161195348155,VA,South Region
Aurora,Colorado,320000,0.04,1175,53011,46.3,0.04,360,256000.00,4417.583333333333,0.26598253192733584,CO,West Region
Stockton,California,275000,0.04,994,44797,46.3,0.04,360,220000.00,3733.0833333333335,0.2662678304350738,CA,West Region
Chicago,Illinois,299000,0.04,1086,48522,46.7,0.04,360,239200.00,4043.5,0.2685792011870904,IL,Midwest Region
Fresno,California,258950,0.04,936,41531,47,0.04,360,207160.00,3460.9166666666665,0.2704485805783632,CA,West Region
Orlando,Florida,265000,0.04,960,42318,47.4,0.04,360,212000.00,3526.5,0.27222458528285837,FL,South Region
Tampa,Florida,279995,0.04,1015,44185,47.9,0.04,360,223996.00,3682.0833333333335,0.27565916034853455,FL,South Region
Houston[7],Texas,315000,0.04,1140,46187,51.5,0.04,360,252000.00,3848.9166666666665,0.296187238833438,TX,South Region
Atlanta,Georgia,329900,0.04,1191,47527,52.3,0.04,360,263920.00,3960.5833333333335,0.30071327876785825,GA,South Region
Austin,Texas,399900,0.04,1447,57689,52.4,0.04,360,319920.00,4807.416666666667,0.30099325694673157,TX,South Region
Nashville[14],Tennessee,330000,0.04,1199,47621,52.5,0.04,360,264000.00,3968.4166666666665,0.30213561243988996,TN,South Region
San Bernardino,California,265000,0.04,958,37047,54,0.04,360,212000.00,3087.25,0.31030852700623535,CA,West Region
Riverside,California,409900,0.04,1482,57196,54.1,0.04,360,327920.00,4766.333333333333,0.31093083432407864,CA,West Region
Irving,Texas,375000,0.04,1357,52154,54.3,0.04,360,300000.00,4346.166666666667,0.31222916746558266,TX,South Region
Washington[13],District of Columbia,550000,0.04,2000,70848,58.9,0.04,360,440000.00,5904,0.33875338753387535,NA,South Region
Jersey City,New Jersey,470000,0.04,1699,59537,59.6,0.04,360,376000.00,4961.416666666667,0.3424425147387339,NJ,Northeast Region
Chula Vista,California,515000,0.04,1862,65185,59.6,0.04,360,412000.00,5432.083333333333,0.3427782465291095,CA,West Region
Portland,Oregon,439900,0.04,1598,55003,60.6,0.04,360,351920.00,4583.583333333333,0.348635528971147,OR,West Region
New Orleans[17],Louisiana,298000,0.04,1077,36792,61.1,0.04,360,238400.00,3066,0.3512720156555773,LA,South Region
Scottsdale,Arizona,595000,0.04,2164,73288,61.6,0.04,360,476000.00,6107.333333333333,0.3543281301167995,AZ,West Region
Reno,Nevada,394000,0.04,1433,47012,63.6,0.04,360,315200.00,3917.6666666666665,0.36577895005530503,NV,West Region
Honolulu[2],Hawaii,629000,0.04,2293,74460,64.3,0.04,360,503200.00,6205,0.3695406929895246,HI,West Region
Denver[12],Colorado,479000,0.04,1731,53637,67.4,0.04,360,383200.00,4469.75,0.38726998154259185,CO,West Region
Fremont,California,949000,0.04,3430,105355,68,0.04,360,759200.00,8779.583333333334,0.3906791324569313,CA,West Region
Dallas,Texas,398500,0.04,1442,43781,68.8,0.04,360,318800.00,3648.4166666666665,0.3952399442680615,TX,South Region
Anaheim,California,579445,0.04,2100,60752,72.1,0.04,360,463556.00,5062.666666666667,0.4148011588095865,CA,West Region
Seattle,Washington,679000,0.04,2464,70594,72.8,0.04,360,543200.00,5882.833333333333,0.41884579426013546,WA,West Region
Irvine,California,897304,0.04,3244,92278,73.4,0.04,360,717843.00,7689.833333333333,0.4218556969158413,CA,West Region
San Jose,California,825000,0.04,2982,84647,73.5,0.04,360,660000.00,7053.916666666667,0.422743865701088,CA,West Region
Santa Ana,California,509990,0.04,1843,52253,73.6,0.04,360,407992.00,4354.416666666667,0.4232484259276979,CA,West Region
San Diego,California,675000,0.04,2440,66116,77,0.04,360,540000.00,5509.666666666667,0.44285800713896784,CA,West Region
Long Beach,California,545000,0.04,1970,52783,77.9,0.04,360,436000.00,4398.583333333333,0.44787147376996383,CA,West Region
Oakland,California,599000,0.04,2165,54618,82.7,0.04,360,479200.00,4551.5,0.47566736240799734,CA,West Region
Boston,Massachusetts,699000,0.04,2530,55777,94.7,0.04,360,559200.00,4648.083333333333,0.5443103788299837,MA,Northeast Region
San Francisco[10],California,1150000,0.04,4157,81294,106.7,0.04,360,920000.00,6774.5,0.6136246217433021,CA,West Region
Miami,Florida,449000,0.04,1627,31051,109.4,0.04,360,359200.00,2587.5833333333335,0.6287720202247914,FL,South Region
Los Angeles,California,748000,0.04,2704,50205,112.4,0.04,360,598400.00,4183.75,0.6463101284732596,CA,West Region
New York[6],New York,798000,0.04,2902,53373,113.5,0.04,360,638400.00,4447.75,0.6524647293575403,NY,Northeast Region
Hialeah,Florida,NA,0.04,NA,29249,NA,0.04,360,NA,2437.4166666666665,NA,FL,South Region
Detroit,Michigan,NA,0.04,NA,25764,NA,0.04,360,#VALUE!,2147,NA,MI,Midwest Region
