State Abbreviation,Full State Name,Region
AL,Alabama,South Region
AK,Alaska,West Region
AZ,Arizona,West Region
AR,Arkansas,South Region
CA,California,West Region
CO,Colorado,West Region
CT,Connecticut,Northeast Region
DE,Delaware,South Region
FL,Florida,South Region
GA,Georgia,South Region
HI,Hawaii,West Region
ID,Idaho,West Region
IL,Illinois,Midwest Region
IN,Indiana,Midwest Region
IA,Iowa,Midwest Region
KS,Kansas,Midwest Region
KY,Kentucky,South Region
LA,Louisiana,South Region
ME,Maine,Northeast Region
MD,Maryland,South Region
MA,Massachusetts,Northeast Region
MI,Michigan,Midwest Region
MN,Minnesota,Midwest Region
MS,Mississippi,South Region
MO,Missouri,Midwest Region
MT,Montana,West Region
NE,Nebraska,Midwest Region
NV,Nevada,West Region
NH,New Hampshire,Northeast Region
NJ,New Jersey,Northeast Region
NM,New Mexico,West Region
NY,New York,Northeast Region
NC,North Carolina,South Region
ND,North Dakota,Midwest Region
OH,Ohio,Midwest Region
OK,Oklahoma,South Region
OR,Oregon,West Region
PA,Pennsylvania,Northeast Region
RI,Rhode Island,Northeast Region
SC,South Carolina,South Region
SD,South Dakota,Midwest Region
TN,Tennessee,South Region
TX,Texas,South Region
UT,Utah,West Region
VT,Vermont,Northeast Region
VA,Virginia,South Region
WA,Washington,West Region
WV,West Virginia,South Region
WI,Wisconsin,Midwest Region
WY,Wyoming,West Region